,datetime,lat,lon,elev,t,td,p,slp,ww,tw,wwflag,ti,area1_t,area2_t,area3_t,freezing_level1_t,freezing_level2_t,freezing_level3_t,lapse_rate_t,lowest_t,lowest_p_t,lowest_z_t,type_t,PA_t,NA_t,area1_tw,area2_tw,area3_tw,freezing_level1_tw,freezing_level2_tw,freezing_level3_tw,lapse_rate_tw,lowest_tw,lowest_p_tw,lowest_z_tw,type_tw,PA_tw,NA_tw,area1_ti,area2_ti,area3_ti,freezing_level1_ti,freezing_level2_ti,freezing_level3_ti,lapse_rate_ti,lowest_ti,lowest_p_ti,lowest_z_ti,type_ti,PA_ti,NA_ti,ID
114237,2005-11-14 00:00:00,   58.1000,  291.5800,   39.0000,   -1.0000,   -3.0000,  993.0289,  997.9000,   71.0000,   -1.7600,    2.0000,   -1.7005, -119.9472,    0.2925,  -36.2923,nan,    0.0000,    0.0000,    6.9436,   -1.5000,  995.0000,nan,    2.0000,    0.2925, -119.9472, -129.9154,    0.2925,  -36.4370,nan,    0.0000,    0.0000,    5.3000,   -2.4522,  995.0000,nan,    2.0000,    0.2925, -129.9154, -124.6039,    0.2744,  -34.2577,nan,    0.0000,    0.0000,    4.9504,   -2.4030,  995.0000,nan,    2.0000,    0.2744, -124.6039,71906
114756,2007-04-30 12:00:00,   58.1000,  291.5800,   39.0000,    1.0000,    0.0000,  999.3338, 1004.2000,   79.0000,    0.0000,    2.0000,    0.5312,    0.9343,   -1.1924,    4.6696,nan,    0.0000,    0.0000,   -0.3329,    0.4000,  997.0000,nan,    1.0000,    0.9343,nan,   -7.9911,    0.7694, -175.5475,nan,    0.0000,    0.0000,   -0.5588,   -0.1129,  997.0000,nan,    2.0000,    0.7694,   -7.9911,   -8.2055,    0.5796, -168.4454,nan,    0.0000,    0.0000,   -0.5449,   -0.1436,  997.0000,nan,    2.0000,    0.5796,   -8.2055,71906
114840,2007-10-20 12:00:00,   58.1000,  291.5800,   39.0000,    3.2000,   -3.4000,  987.6000,  992.5000,   80.0000,    0.5700,    1.0000,    0.4495,  300.1639,    0.0000,    0.0000,nan,    0.0000,    0.0000,    3.2835,    2.4000,  987.0000,nan,    0.0000,nan,nan,  -14.1881,  243.2022,    0.0000,nan,    0.0000,    0.0000,    1.8893,   -0.1812,  987.0000,nan,    2.0000,  243.2022,  -14.1881,  -16.6700,  223.9316,    0.0000,nan,    0.0000,    0.0000,    1.6829,   -0.3574,  987.0000,nan,    2.0000,  223.9316,  -16.6700,71906
114986,2008-04-29 12:00:00,   58.1000,  291.5800,   39.0000,    1.0000,   -2.0000, 1008.5888, 1013.5000,   61.0000,   -2.0000,    1.0000,   -0.2248,    0.0801,   -0.5985,  113.9767,nan,    0.0000,    0.0000,   -1.7574,    0.2000, 1007.0000,nan,    1.0000,    0.0801,nan,  -10.6679,   23.3503, -102.1219,nan,    0.0000,    0.0000,   -3.5663,   -1.4377, 1007.0000,nan,    2.0000,   23.3503,  -10.6679,  -11.1885,   17.7429, -102.8862,nan,    0.0000,    0.0000,   -3.5327,   -1.4865, 1007.0000,nan,    2.0000,   17.7429,  -11.1885,71906
115222,2009-05-14 12:00:00,   58.1000,  291.5800,   39.0000,    0.8000,   -1.8000,  999.5000, 1004.5000,   61.0000,   -0.2400,    1.0000,   -0.2662,    0.1039,   -0.7876,  136.1088,nan,    0.0000,    0.0000,  -15.0805,    0.2000,  999.0000,nan,    1.0000,    0.1039,nan,   -7.4058,  105.6363,  -53.8659,nan,    0.0000,    0.0000,  -15.3464,   -1.1894,  999.0000,nan,    2.0000,  105.6363,   -7.4058,   -7.5345,   96.6451,  -50.9572,nan,    0.0000,    0.0000,  -14.3962,   -1.2302,  999.0000,nan,    2.0000,   96.6451,   -7.5345,71906
115239,2009-06-03 00:00:00,   58.1000,  291.5800,   39.0000,   -0.2000,   -2.4000,  998.3000, 1003.3000,   71.0000,   -1.0600,    2.0000,   -1.0338,   -0.0144,    9.9685,  -90.8035,nan,    0.0000,    0.0000,    3.0584,   -0.5000,  996.0000,nan,    2.0000,    9.9685,   -0.0144,   -0.0564,    6.2729,  -98.5818,nan,    0.0000,    0.0000,    2.5420,   -0.9957,  996.0000,nan,    2.0000,    6.2729,   -0.0564,   -0.0578,    5.6414,  -93.7342,nan,    0.0000,    0.0000,    2.3728,   -0.9791,  996.0000,nan,    2.0000,    5.6414,   -0.0578,71906
115412,2010-03-15 12:00:00,   58.1000,  291.5800,   39.0000,    1.7000,   -1.8000, 1009.4000, 1014.4000,   61.0000,    0.2900,    1.0000,    0.2248,   98.7507,  -28.4480,    0.0000,nan,    0.0000,    0.0000,   -1.4447,    1.4000, 1008.0000,nan,    1.0000,   98.7507,nan,   -0.7248,   54.5895,  -31.3732,nan,    0.0000,    0.0000,   -3.8097,   -0.7568, 1008.0000,nan,    2.0000,   54.5895,   -0.7248,   -1.0319,   48.3833,  -30.2693,nan,    0.0000,    0.0000,   -3.7645,   -0.8761, 1008.0000,nan,    2.0000,   48.3833,   -1.0319,71906
115519,2010-11-12 12:00:00,   58.1000,  291.5800,   39.0000,    2.3000,   -5.5000, 1003.6000, 1008.6000,   80.0000,   -0.5800,    1.0000,   -0.6554,  286.6328,    0.0000,    0.0000,nan,    0.0000,    0.0000,   -3.9528,    1.2000, 1003.0000,nan,    0.0000,nan,nan,   -8.5307,   93.5491,  -14.4374,nan,    0.0000,    0.0000,   -1.6085,   -0.9463, 1003.0000,nan,    2.0000,   93.5491,   -8.5307,  -12.1131,   79.1891,  -15.9532,nan,    0.0000,    0.0000,   -1.3723,   -1.0555, 1003.0000,nan,    2.0000,   79.1891,  -12.1131,71906
115527,2010-11-19 00:00:00,   58.1000,  291.5800,   39.0000,   -1.3000,   -2.0000,  991.1000,  996.0000,   71.0000,   -1.5700,    2.0000,   -1.5017,   -0.5034,    2.4948, -363.6148,nan,    0.0000,    0.0000,   -0.0000,   -1.7000,  990.0000,nan,    2.0000,    2.4948,   -0.5034,   -0.7481,    0.3110, -392.1568,nan,    0.0000,    0.0000,    0.2991,   -1.9597,  990.0000,nan,    2.0000,    0.3110,   -0.7481,   -0.7312,    0.2155, -377.3477,nan,    0.0000,    0.0000,    0.2986,   -1.8786,  990.0000,nan,    2.0000,    0.2155,   -0.7312,71906
115530,2010-11-25 12:00:00,   58.1000,  291.5800,   39.0000,    0.1000,   -0.6000, 1014.7000, 1019.7000,   80.0000,   -0.1900,    1.0000,   -0.1849,   15.2123, -217.8785,    0.0000,nan,    0.0000,    0.0000,    1.2537,    0.0000, 1012.0000,nan,    1.0000,   15.2123,nan,   -0.3610,    7.9669, -227.4271,nan,    0.0000,    0.0000,    0.7777,   -0.4633, 1012.0000,nan,    2.0000,    7.9669,   -0.3610,   -0.3960,    7.0472, -217.2436,nan,    0.0000,    0.0000,    0.6981,   -0.4721, 1012.0000,nan,    2.0000,    7.0472,   -0.3960,71906
115646,2011-05-17 00:00:00,   58.1000,  291.5800,   39.0000,   -0.9000,   -1.8000, 1011.0000, 1016.0000,   71.0000,   -1.2500,    2.0000,   -1.1988,   -0.0008,    5.4704, -387.5326,nan,    0.0000,    0.0000,    5.5054,   -0.1000, 1009.0000,nan,    2.0000,    5.4704,   -0.0008,   -0.1586,    0.6200, -422.3774,nan,    0.0000,    0.0000,    4.2464,   -1.4644, 1009.0000,nan,    2.0000,    0.6200,   -0.1586,   -0.1717,    0.4013, -406.8924,nan,    0.0000,    0.0000,    3.9576,   -1.4914, 1009.0000,nan,    2.0000,    0.4013,   -0.1717,71906
115873,2012-05-17 12:00:00,   58.1000,  291.5800,   39.0000,   -0.7000,   -0.9000, 1000.8000, 1005.8000,   79.0000,   -0.7800,    2.0000,   -0.7415, -131.6260,    0.9651,    0.0000,nan,    0.0000,    0.0000,    0.4199,   -1.1000,  999.0000,nan,    2.0000,    0.9651, -131.6260, -183.9705,    0.4301,    0.0000,nan,    0.0000,    0.0000,    2.0452,   -1.6545,  999.0000,nan,    2.0000,    0.4301, -183.9705, -179.0644,    0.3753,    0.0000,nan,    0.0000,    0.0000,    2.0657,   -1.6106,  999.0000,nan,    2.0000,    0.3753, -179.0644,71906
115940,2012-10-26 12:00:00,   58.1000,  291.5800,   39.0000,   -1.0000,   -4.0000, 1009.3489, 1014.3000,   66.0000,   -4.0000,    1.0000,   -2.0387,  -34.9832,  150.9140,    0.0000,nan,    0.0000,    0.0000,   -4.8855,   -1.9000, 1010.0000,nan,    2.0000,  150.9140,  -34.9832,  -62.6224,    2.2289,  -42.1887,nan,    0.0000,    0.0000,   -2.5134,   -3.2830, 1010.0000,nan,    2.0000,    2.2289,  -62.6224,  -62.2312,    1.2070,  -47.9647,nan,    0.0000,    0.0000,   -2.2451,   -3.2366, 1010.0000,nan,    2.0000,    1.2070,  -62.2312,71906
115944,2012-11-01 12:00:00,   58.1000,  291.5800,   39.0000,    1.0000,    0.0000, 1007.9917, 1012.9000,   79.0000,    0.0000,    2.0000,    0.5333,    1.1982, -105.5822,    1.8213,nan,    0.0000,    0.0000,    5.2381,    0.4000, 1006.0000,nan,    1.0000,    1.1982,nan, -127.6598,    0.7041,    0.0000,nan,    0.0000,    0.0000,    4.9185,   -0.1102, 1006.0000,nan,    2.0000,    0.7041, -127.6598, -122.6603,    0.5977,    0.0000,nan,    0.0000,    0.0000,    4.6504,   -0.1410, 1006.0000,nan,    2.0000,    0.5977, -122.6603,71906
116115,2013-04-29 12:00:00,   58.1000,  291.5800,   39.0000,    2.0000,    1.0000, 1011.7911, 1016.7000,   61.0000,    1.0000,    1.0000,    1.4593,  178.5262,  -19.0171,    0.0000,nan,    0.0000,    0.0000,  -13.2811,    0.6000, 1010.0000,nan,    1.0000,  178.5262,nan,   -0.1287,  161.3880,  -27.0173,nan,    0.0000,    0.0000,  -15.6263,   -0.4613, 1010.0000,nan,    2.0000,  161.3880,   -0.1287,   -0.1621,  149.1691,  -26.3426,nan,    0.0000,    0.0000,  -14.7009,   -0.5140, 1010.0000,nan,    2.0000,  149.1691,   -0.1621,71906
116642,2015-10-13 12:00:00,   58.1000,  291.5800,   39.0000,   -1.0000,   -3.0000,  991.5362,  996.4000,   66.0000,   -3.0000,    1.0000,   -1.7011,  -70.7514,    8.2473,   -5.8563,nan,    0.0000,    0.0000,    1.5355,   -1.9000,  991.0000,nan,    2.0000,    8.2473,  -70.7514,  -84.6726,    0.5376,  -15.5163,nan,    0.0000,    0.0000,    0.5585,   -2.7417,  991.0000,nan,    2.0000,    0.5376,  -84.6726,  -81.7404,    0.2131,  -15.4096,nan,    0.0000,    0.0000,    0.4461,   -2.6713,  991.0000,nan,    2.0000,    0.2131,  -81.7404,71906
116680,2015-11-19 00:00:00,   58.1000,  291.5800,   39.0000,   -1.0000,   -4.0000, 1008.5528, 1013.5000,   66.0000,   -4.0000,    1.0000,   -2.0392,  -51.8854,  121.7795,   -8.1317,nan,    0.0000,    0.0000,  -12.9433,   -1.7000, 1008.0000,nan,    2.0000,  121.7795,  -51.8854,  -71.4673,   82.4503,  -15.8688,nan,    0.0000,    0.0000,  -15.2894,   -3.3256, 1008.0000,nan,    2.0000,   82.4503,  -71.4673,  -69.7903,   74.6008,  -15.6965,nan,    0.0000,    0.0000,  -14.5960,   -3.2968, 1008.0000,nan,    2.0000,   74.6008,  -69.7903,71906
116744,2016-01-11 12:00:00,   58.1000,  291.5800,   39.0000,    0.0000,   -4.0000,  988.3696,  993.2000,   66.0000,   -4.0000,    1.0000,   -1.4851, -104.5913,   63.3146,  -15.9762,nan,    0.0000,    0.0000,    8.1768,   -0.7000,  987.0000,nan,    2.0000,   63.3146, -104.5913, -133.8320,   25.6622,  -35.6283,nan,    0.0000,    0.0000,    7.4050,   -1.8228,  987.0000,nan,    2.0000,   25.6622, -133.8320, -129.9690,   21.9604,  -35.6847,nan,    0.0000,    0.0000,    7.0427,   -1.8133,  987.0000,nan,    2.0000,   21.9604, -129.9690,71906
116887,2016-10-03 00:00:00,   58.1000,  291.5800,   39.0000,    2.0000,    0.0000, 1013.0849, 1018.0000,   61.0000,    0.0000,    1.0000,    1.0595,   33.1927, -326.2527,    0.0000,nan,    0.0000,    0.0000,    5.7621,    2.2000, 1011.0000,nan,    1.0000,   33.1927,nan,   -0.0007,    4.9679, -379.3373,nan,    0.0000,    0.0000,    3.8001,   -0.0213, 1011.0000,nan,    2.0000,    4.9679,   -0.0007,   -0.0508,    3.3292, -368.2183,nan,    0.0000,    0.0000,    3.4631,   -0.1814, 1011.0000,nan,    2.0000,    3.3292,   -0.0508,71906
116911,2016-11-07 00:00:00,   58.1000,  291.5800,   39.0000,   -1.0000,   -4.0000, 1005.5674, 1010.5000,   71.0000,   -4.0000,    2.0000,   -2.0410,  -10.6328,   36.8964,  -61.8054,nan,    0.0000,    0.0000,   -5.7984,   -1.5000, 1006.0000,nan,    2.0000,   36.8964,  -10.6328,  -29.7986,    5.4470,  -70.9543,nan,    0.0000,    0.0000,   -5.0999,   -2.6677, 1006.0000,nan,    2.0000,    5.4470,  -29.7986,  -30.3251,    3.7601,  -68.1316,nan,    0.0000,    0.0000,   -4.8066,   -2.6275, 1006.0000,nan,    2.0000,    3.7601,  -30.3251,71906
116922,2016-11-17 00:00:00,   58.1000,  291.5800,   39.0000,   -0.5000,   -3.4000, 1008.7000, 1013.9000,   66.0000,   -1.5900,    1.0000,   -1.5496,  -45.8409,    7.4354,  -94.1657,nan,    0.0000,    0.0000,    4.1774,   -1.1000, 1008.0000,nan,    2.0000,    7.4354,  -45.8409,  -65.6955,    1.5276, -104.2158,nan,    0.0000,    0.0000,    2.6695,   -2.2857, 1008.0000,nan,    2.0000,    1.5276,  -65.6955,  -64.0789,    1.1883,  -99.3723,nan,    0.0000,    0.0000,    2.4269,   -2.2630, 1008.0000,nan,    2.0000,    1.1883,  -64.0789,71906
117169,2017-10-29 12:00:00,   58.1000,  291.5800,   39.0000,    0.0000,    0.0000,  997.9229, 1002.8000,   71.0000,    0.0000,    2.0000,    0.0000,   -6.5737,   13.3262,  -26.4814,nan,    0.0000,    0.0000,   -4.4223,   -0.5000,  996.0000,nan,    2.0000,   13.3262,   -6.5737,  -11.9290,    5.1798,  -41.3025,nan,    0.0000,    0.0000,   -3.8690,   -0.8092,  996.0000,nan,    2.0000,    5.1798,  -11.9290,  -11.7235,    4.4408,  -40.0322,nan,    0.0000,    0.0000,   -3.6153,   -0.7883,  996.0000,nan,    2.0000,    4.4408,  -11.7235,71906
117181,2017-11-20 12:00:00,   58.1000,  291.5800,   39.0000,    0.8000,    0.4000,  979.5000,  984.4000,   68.0000,    0.6300,    1.0000,    0.5859,    3.2911, -252.1447,    0.0000,nan,    0.0000,    0.0000,    1.5431,    0.2000,  979.0000,nan,    1.0000,    3.2911,nan,   -0.0000,    0.8199, -265.5569,nan,    0.0000,    0.0000,    1.8119,   -0.0022,  979.0000,nan,    2.0000,    0.8199,   -0.0000,   -0.0014,    0.6499, -253.4458,nan,    0.0000,    0.0000,    1.7291,   -0.0165,  979.0000,nan,    2.0000,    0.6499,   -0.0014,71906
117652,1978-05-08 12:00:00,   58.4500,  281.8800,    8.0000,    0.0000,   -1.0000, 1011.8000, 1012.4000,   60.0000,   -0.4000,    1.0000,   -0.3955,   -2.5227,   28.1423, -126.0758,  914.4967,    0.0000,    0.0000,   -5.8824,   -0.5000, 1011.0000,    5.0000,    2.0000,   28.1423,   -2.5227,  -11.3560,    4.4287, -148.5676,  742.3452,    0.0000,    0.0000,   -2.8797,   -0.7311, 1011.0000,    5.0000,    2.0000,    4.4287,  -11.3560,  -11.6043,    3.1360, -143.1981,  723.5842,    0.0000,    0.0000,   -2.5140,   -0.7089, 1011.0000,    5.0000,    2.0000,    3.1360,  -11.6043,71907
117709,1978-10-17 12:00:00,   58.4500,  281.8800,    8.0000,    0.0000,    0.0000, 1002.4000, 1003.0000,   71.0000,    0.0000,    2.0000,    0.0000,   -0.0541,    0.9993, -376.4616,   99.1633,    0.0000,    0.0000,    4.9248,   -0.7000, 1001.0000,    5.0000,    2.0000,    0.9993,   -0.0541,   -0.0541,    0.9135, -404.2614,   91.2790,    0.0000,    0.0000,    5.5831,   -0.7000, 1001.0000,    5.0000,    2.0000,    0.9135,   -0.0541,   -0.0512,    0.8474, -388.9168,   89.9362,    0.0000,    0.0000,    5.3786,   -0.6621, 1001.0000,    5.0000,    2.0000,    0.8474,   -0.0512,71907
117806,1978-12-28 00:00:00,   58.4500,  281.8800,    8.0000,   -6.0000,   -8.0000, 1022.8000, 1023.4000,   71.0000,   -6.6000,    2.0000,   -6.3662,   -9.7802,    7.0243, -360.0616,  411.3333,    0.0000,    0.0000,   -9.4118,   -5.3000, 1021.0000,    5.0000,    2.0000,    7.0243,   -9.7802,  -10.2567,    0.2766, -500.3807,  137.6020,    0.0000,    0.0000,   -3.8280,   -5.3000, 1021.0000,    5.0000,    2.0000,    0.2766,  -10.2567,   -9.8644,    0.2258, -493.3972,  135.0710,    0.0000,    0.0000,   -3.2655,   -5.0723, 1021.0000,    5.0000,    2.0000,    0.2258,   -9.8644,71907
118686,1982-11-21 12:00:00,   58.4500,  281.8800,    8.0000,   -7.8000,   -8.8000,  990.1000,  991.1000,   71.0000,   -8.0900,    2.0000,   -7.8007,  -87.0045,   12.0226,  -28.0237, 1152.4987, 2278.1852,    0.0000,  -10.7926,   -8.1000,  992.0000,    7.0000,    2.0000,   12.0226,  -87.0045,  -91.5784,    6.7780,  -37.1009, 1109.1021, 2218.9819,    0.0000,  -10.7628,   -8.3491,  992.0000,    7.0000,    2.0000,    6.7780,  -91.5784,  -88.4964,    6.0591,  -35.6181, 1105.7857, 2213.3280,    0.0000,  -10.4195,   -8.0618,  992.0000,    7.0000,    2.0000,    6.0591,  -88.4964,71907
118810,1983-04-22 00:00:00,   58.4500,  281.8800,    8.0000,   -4.2000,   -5.6000, 1013.6000, 1014.7000,   66.0000,   -4.6700,    1.0000,   -4.4811,  -57.2348,   29.2166,  -15.8959, 1325.1304,    0.0000,    0.0000,   -9.3842,   -4.5000, 1014.0000,    7.0000,    2.0000,   29.2166,  -57.2348,  -64.5683,   24.6583,  -20.2369, 1278.9712,    0.0000,    0.0000,   -9.8652,   -5.0056, 1014.0000,    7.0000,    2.0000,   24.6583,  -64.5683,  -62.3317,   22.7784,  -19.3299, 1275.3727,    0.0000,    0.0000,   -9.5260,   -4.8287, 1014.0000,    7.0000,    2.0000,   22.7784,  -62.3317,71907
119086,1984-05-13 12:00:00,   58.4500,  281.8800,    8.0000,   -1.2000,   -4.0000, 1012.6000, 1013.0000,   79.0000,   -2.2200,    2.0000,   -2.1524,  -51.1871,    0.3866,  -80.2710,  612.6471,    0.0000,    0.0000,   -2.9470,   -1.3000, 1012.0000,    7.0000,    2.0000,    0.3866,  -51.1871,  -59.3078,    0.0117,  -89.3216,  527.0409,    0.0000,    0.0000,   -4.6156,   -2.3145, 1012.0000,    7.0000,    2.0000,    0.0117,  -59.3078,  -57.1033,    0.0046,  -85.0596,  520.6698,    0.0000,    0.0000,   -4.5165,   -2.2776, 1012.0000,    7.0000,    2.0000,    0.0046,  -57.1033,71907
119409,1985-04-25 00:00:00,   58.4500,  281.8800,    8.0000,    0.2000,   -0.5000, 1016.3000, 1016.7000,   61.0000,   -0.0900,    1.0000,   -0.0912,  -10.0399,   25.7885,nan,   26.4444, 1460.0000, 2679.3488,   -1.5123,    0.2000, 1015.0000,    7.0000,    2.0000,   25.7885,  -10.0399,  -12.1657,    0.8530,  -90.4626,  545.5658, 2679.3488,    0.0000,   -1.0158,   -0.0368, 1015.0000,    7.0000,    2.0000,    0.8530,  -12.1657,  -11.7122,    0.6882,  -93.7694,  543.1392, 2677.9125,    0.0000,   -0.9238,   -0.0519, 1015.0000,    7.0000,    2.0000,    0.6882,  -11.7122,71907
119422,1985-05-20 12:00:00,   58.4500,  281.8800,    8.0000,    0.6000,   -0.2000, 1004.8000, 1005.2000,   71.0000,    0.2700,    2.0000,    0.2406,    1.2135,  -11.5549,    2.6296,  104.3333, 1058.0000,    0.0000,    5.7627,    0.6000, 1005.0000,    7.0000,    1.0000,    1.2135,nan,    0.2553,  -12.5730,    2.6296,   52.7693, 1058.0000,    0.0000,    4.5427,    0.2401, 1005.0000,    7.0000,    1.0000,    0.2553,nan,  -11.9990,    2.4680,nan,   47.6650, 1057.9626,    0.0000,    4.2077,    0.2009, 1005.0000,    7.0000,    2.0000,    2.4680,  -11.9990,71907
120108,1987-05-14 00:00:00,   58.4500,  281.8800,    8.0000,   -2.2000,   -3.1000,  991.3000,  991.7000,   68.0000,   -2.5400,    1.0000,   -2.4237,  -23.3138,    0.3236, -109.9611,  414.8261,    0.0000,    0.0000,   -6.8249,   -2.1000,  992.0000,    7.0000,    2.0000,    0.3236,  -23.3138,  -24.1232,    0.3236, -109.9611,  414.8261,    0.0000,    0.0000,   -7.7932,   -2.4263,  992.0000,    7.0000,    2.0000,    0.3236,  -24.1232,  -22.9964,    0.3040, -103.8957,  414.6637,    0.0000,    0.0000,   -7.4713,   -2.3294,  992.0000,    7.0000,    2.0000,    0.3040,  -22.9964,71907
120459,1988-04-18 12:00:00,   58.4500,  281.8800,    8.0000,   -2.7000,   -3.4000,  998.2000,  998.6000,   71.0000,   -2.9600,    2.0000,   -2.8232,  -29.8272,    7.8725, -218.6664,  698.4667,    0.0000,    0.0000,   -6.9847,   -3.3000,  998.0000,    7.0000,    2.0000,    7.8725,  -29.8272,  -31.0388,    3.4883, -247.7121,  610.7230,    0.0000,    0.0000,   -6.3808,   -3.6091,  998.0000,    7.0000,    2.0000,    3.4883,  -31.0388,  -29.6527,    3.0538, -238.5457,  602.4954,    0.0000,    0.0000,   -6.0398,   -3.4628,  998.0000,    7.0000,    2.0000,    3.0538,  -29.6527,71907
120787,1989-05-19 12:00:00,   58.4500,  281.8800,    8.0000,    0.7000,    0.6000,  996.8000,  997.6000,   61.0000,    0.6600,    1.0000,    0.6181,  -25.1786,  171.9656,nan,   68.8000, 2525.3913,    0.0000,    5.8140,    0.4000,  996.0000,    7.0000,    2.0000,  171.9656,  -25.1786,  -26.1016,  170.6018,nan,   62.8138, 2348.7662,    0.0000,    5.7192,    0.3592,  996.0000,    7.0000,    2.0000,  170.6018,  -26.1016,  -24.7962,  158.2406,nan,   62.1169, 2345.2150,    0.0000,    5.4084,    0.3360,  996.0000,    7.0000,    2.0000,  158.2406,  -24.7962,71907
121112,1990-04-24 12:00:00,   58.4500,  281.8800,    8.0000,    1.0000,    0.0000, 1001.5000, 1002.3000,   61.0000,    0.5800,    1.0000,    0.5317,    1.6025,   -0.9199,  113.3162,  205.5714, 2610.3651,    0.0000,   -3.1088,    0.4000, 1002.0000,    7.0000,    1.0000,    1.6025,nan,    0.0547,   -1.8703,   90.9462,   54.1544, 2610.3651,    0.0000,   -1.6199,    0.0422, 1002.0000,    7.0000,    1.0000,    0.0547,nan,   -1.9151,   83.1432,nan,   28.5267, 2607.8656,    0.0000,   -1.4243,    0.0141, 1002.0000,    7.0000,    2.0000,   83.1432,   -1.9151,71907
121442,1991-04-23 12:00:00,   58.4500,  281.8800,    8.0000,   -2.9000,   -5.5000, 1000.0000, 1000.8000,   68.0000,   -3.8000,    1.0000,   -3.6568,   -7.1111,    1.9788,   -0.9289,  443.6000, 1096.7143,    0.0000,   -4.5936,   -2.9000, 1001.0000,    7.0000,    2.0000,    1.9788,   -7.1111,  -28.7455,    8.1100,  -72.8265, 1072.0379,    0.0000,    0.0000,   -6.1004,   -3.7941, 1001.0000,    7.0000,    2.0000,    8.1100,  -28.7455,  -28.9576,    7.4612,  -69.0193, 1069.7828,    0.0000,    0.0000,   -5.9429,   -3.6884, 1001.0000,    7.0000,    2.0000,    7.4612,  -28.9576,71907
121535,1991-11-03 00:00:00,   58.4500,  281.8800,    8.0000,   -1.2000,   -2.6000,  999.0000,  999.8000,   66.0000,   -1.7400,    1.0000,   -1.6672,  -49.8157,  119.2051,    0.0000, 2145.5082,    0.0000,    0.0000,    1.1111,   -1.3000,  999.0000,    7.0000,    2.0000,  119.2051,  -49.8157,  -51.4179,  118.4304,    0.0000, 2136.0127,    0.0000,    0.0000,    0.2234,   -1.7794,  999.0000,    7.0000,    2.0000,  118.4304,  -51.4179,  -48.9581,  110.3788,    0.0000, 2132.1596,    0.0000,    0.0000,    0.1385,   -1.7239,  999.0000,    7.0000,    2.0000,  110.3788,  -48.9581,71907
121559,1991-11-19 12:00:00,   58.4500,  281.8800,    8.0000,    1.0000,   -0.2000, 1000.1000, 1000.9000,   80.0000,    0.5000,    1.0000,    0.4516,    2.7892,  -76.0386,    8.3956,  142.2683, 2033.5814,    0.0000,    7.1429,    1.0000, 1001.0000,    7.0000,    1.0000,    2.7892,nan,    1.0223,  -78.9700,    8.3956,   89.6405, 2033.5814,    0.0000,    6.3672,    0.5548, 1001.0000,    7.0000,    1.0000,    1.0223,nan,  -75.0770,    7.8158,nan,   84.6909, 2032.0744,    0.0000,    5.9840,    0.4916, 1001.0000,    7.0000,    2.0000,    7.8158,  -75.0770,71907
121836,1992-06-15 12:00:00,   58.4500,  281.8800,    8.0000,   -0.7000,   -1.3000, 1003.0000, 1003.8000,   79.0000,   -0.9400,    2.0000,   -0.8977, -114.7008,   32.7595,    0.0000, 2173.4000,    0.0000,    0.0000,    5.3125,   -0.1000, 1003.0000,    7.0000,    2.0000,   32.7595, -114.7008, -117.9715,   30.4021,    0.0000, 2147.3856,    0.0000,    0.0000,    4.9410,   -0.3744, 1003.0000,    7.0000,    2.0000,   30.4021, -117.9715, -112.1705,   28.1836,    0.0000, 2143.0618,    0.0000,    0.0000,    4.6713,   -0.3738, 1003.0000,    7.0000,    2.0000,   28.1836, -112.1705,71907
122132,1993-05-07 12:00:00,   58.4500,  281.8800,    8.0000,   -4.8000,   -6.6000, 1012.0000, 1012.8000,   71.0000,   -5.3800,    2.0000,   -5.1750, -127.2802,    1.0017,  -29.2644, 1269.3333,    0.0000,    0.0000,   -4.9822,   -4.7000, 1011.0000,    7.0000,    2.0000,    1.0017, -127.2802, -128.2778,    1.0017,  -30.1328, 1269.3333,    0.0000,    0.0000,   -5.9285,   -5.2318, 1011.0000,    7.0000,    2.0000,    1.0017, -128.2778, -122.7049,    0.9411,  -28.5586, 1269.3710,    0.0000,    0.0000,   -5.7839,   -5.0497, 1011.0000,    7.0000,    2.0000,    0.9411, -122.7049,71907
122145,1993-06-05 00:00:00,   58.4500,  281.8800,    8.0000,    0.7000,   -0.6000, 1000.2000, 1001.0000,   61.0000,    0.1600,    1.0000,    0.1349,    4.1405,   -1.0057,   66.6904,  367.3333, 1612.4000,    0.0000,    1.6514,    0.6000, 1002.0000,    7.0000,    1.0000,    4.1405,nan,   -8.6300,   28.4690,nan,   56.0511, 1575.2470,    0.0000,    1.8679,    0.0847, 1002.0000,    7.0000,    2.0000,   28.4690,   -8.6300,   -8.9390,   24.1624,nan,   35.2961, 1571.6755,    0.0000,    1.7797,    0.0430, 1002.0000,    7.0000,    2.0000,   24.1624,   -8.9390,71907
123082,2006-04-06 00:00:00,   58.4500,  281.8800,    8.0000,    0.3000,   -2.2000, 1005.0000, 1008.2000,   71.0000,   -0.6800,    2.0000,   -0.6817,    4.0889, -209.6412,    0.0000,  433.8000,    0.0000,    0.0000,    1.3699,    0.0000, 1004.0000,    7.0000,    1.0000,    4.0889,nan,   -0.7766,    2.5825, -221.6323,  396.0301,    0.0000,    0.0000,    0.1286,   -0.9365, 1004.0000,    7.0000,    2.0000,    2.5825,   -0.7766,   -0.7989,    2.3416, -211.7973,  392.9534,    0.0000,    0.0000,    0.0256,   -0.9560, 1004.0000,    7.0000,    2.0000,    2.3416,   -0.7989,71907
